Date,A,B,C,D
2019-07-08,0.8707349323260013,0.8466110685448838,0.6347307177880862,0.4982943372524255
2019-07-09,0.8235155615396148,0.8006999186950777,0.6003096971076806,0.47127216988786896
2019-07-10,0.7812458929524315,0.759601338678266,0.5694968101004526,0.4470825621064686
2019-07-11,0.7432244065673649,0.7226332442317297,0.5417806769253478,0.4253240559799387
2019-07-12,0.7090008703151207,0.689357877044498,0.5168330965261034,0.40573899779272266
2019-07-15,0.6773567831934091,0.6585904948979305,0.49376583071783015,0.38763007757500506
2019-07-16,0.6484859043867548,0.630519488844414,0.472720122147062,0.37110817764108717
2019-07-17,0.6218733429722318,0.6046442331042088,0.4533206360558167,0.35587864203808195
2019-07-18,0.5971028565749734,0.5805600173703349,0.43526394850695266,0.34170326828826564
2019-07-19,0.5743656796886973,0.5584527779513734,0.41868946174902694,0.328691493904444
2019-07-22,0.5531056644276364,0.5377817751361234,0.4031917663587763,0.31652505286573707
2019-07-23,0.5332904856627427,0.5185155793688979,0.3887472986182409,0.3051854465129575
2019-07-24,0.5150680358310374,0.5007979857008519,0.3754638661612032,0.2947573090569933
2019-07-25,0.4979268120108194,0.48413166248830325,0.36296860394620367,0.2849479233919731
2019-07-26,0.48183112890659996,0.4684819131031239,0.3512354988291969,0.27573686794066926
2019-07-29,0.4663521171256322,0.45343175005419545,0.33995192228525567,0.2668787141784035
2019-07-30,0.4519362816664583,0.43941530784088473,0.32944335848608264,0.2586289829348433
2019-07-31,0.4378679352713132,0.4257367274462324,0.3191881002278339,0.2505781088020231
2019-08-01,0.4247900817123895,0.4130211981103213,0.30965487137894787,0.24309406270498612
2019-08-02,0.41253990042301586,0.4011104102387923,0.3007249822999977,0.23608366753167623
2019-08-05,0.40116641621564053,0.39005203040307973,0.29243417010596484,0.22957497864718895
2019-08-06,0.3903635038599799,0.37954841462601296,0.28455928182579304,0.22339281016764925
2019-08-07,0.3800372623521542,0.3695082634474683,0.2770318674072551,0.21748342548877198
2019-08-08,0.37030136076799197,0.3600420967216232,0.269934787031346,0.21191187386343924
2019-08-09,0.3610547711681194,0.3510516855058558,0.26319439539672895,0.20662034016534173
2019-08-12,0.35212504712733167,0.34236936103337007,0.2566849860005562,0.20151013870499024
2019-08-13,0.3434333264262259,0.3339184459763619,0.25034907145915947,0.1965361391035603
2019-08-14,0.3350649931195044,0.32578195880934563,0.24424889331163038,0.19174720398200598
2019-08-15,0.3272023343183584,0.31813713634717544,0.2385173315248044,0.18724765054627435
2019-08-16,0.3196092358570419,0.31075440600841503,0.23298226837566385,0.18290235805253352
2019-08-19,0.31232596502808013,0.30367291947319874,0.2276730570996643,0.17873437021144314
2019-08-20,0.3052888603959589,0.29683077905723143,0.22254329107274687,0.17470725557683014
2019-08-21,0.29850938569919544,0.2902391308941472,0.21760132689886466,0.1708275744872944
2019-08-22,0.29199659007619855,0.28390677341439063,0.2128537610356816,0.16710050548140007
2019-08-23,0.28588007663789455,0.2779597190520041,0.20839506893441923,0.16360021636138788
2019-08-26,0.27999164589941994,0.27223442831830696,0.20410263994079517,0.16023045182874543
2019-08-27,0.27441102742008644,0.26680842185120796,0.20003459369435994,0.15703683861376877
2019-08-28,0.269021664024708,0.261568371712471,0.1961059647059359,0.15395267469474602
